createDt, deathCnt , defCnt ,gubunEn, incDec , isolClearCnt , isolIngCnt , localOccCnt , overFlowCnt ,qurRate,seq
2020-11-27, 15 , 707 ,Busan, 24 , 594 , 98 , 24 , - ,20.72,5938
2020-11-27, 88 ," 8,317 ",Seoul, 204 ," 6,364 "," 1,865 ", 204 , - ,85.45,5937
2020-11-27, 516 ," 32,887 ",Total, 569 ," 27,103 "," 5,268 ", 525 , 44 ,63.43,5936
2020-11-26, - ," 2,144 ",Lazaretto, 12 ," 1,588 ", 556 , - , 12 ,-,5935
2020-11-26, - , 73 ,Jeju, 3 , 60 , 13 , 2 , 1 ,10.88,5934
2020-11-26, 1 , 537 ,Gyeongsangnam-do, 45 , 368 , 168 , 45 , - ,15.98,5933
2020-11-26, 57 ," 1,681 ",Gyeongsangbuk-do, 2 ," 1,538 ", 86 , 2 , - ,63.14,5932
2020-11-26, 2 , 382 ,Jeollanam-do, 9 , 191 , 189 , 9 , - ,20.49,5931
2020-11-26, 2 , 268 ,Jeollabuk-do, 16 , 172 , 94 , 16 , - ,14.75,5930
2020-11-26, 8 , 833 ,Chungcheongnam-do, 16 , 639 , 186 , 16 , - ,39.25,5929
2020-11-26, 3 , 239 ,Chungcheongbuk-do, 8 , 202 , 34 , 8 , - ,14.94,5928
2020-11-26, 6 , 583 ,Gangwon-do, 8 , 342 , 235 , 8 , - ,37.84,5927
2020-11-26, 112 ," 6,864 ",Gyeonggi-do, 183 ," 5,676 "," 1,076 ", 177 , 6 ,51.8,5926
2020-11-26, - , 93 ,Sejong, 4 , 82 , 11 , 4 , - ,27.17,5925
2020-11-26, 2 , 185 ,Ulsan, 7 , 164 , 19 , 6 , 1 ,16.13,5924
2020-11-26, 6 , 465 ,Daejeon, 1 , 440 , 19 , 1 , - ,31.54,5923
2020-11-26, 3 , 646 ,Gwangju, 14 , 543 , 100 , 14 , - ,44.35,5922
2020-11-26, 11 ," 1,305 ",Incheon, 19 ," 1,060 ", 234 , 17 , 2 ,44.15,5921
2020-11-26, 199 ," 7,224 ",Daegu, 1 ," 6,991 ", 34 , 1 , - ,296.49,5920
2020-11-26, 15 , 683 ,Busan, 22 , 594 , 74 , 19 , 3 ,20.02,5919
2020-11-26, 88 ," 8,113 ",Seoul, 213 ," 6,300 "," 1,725 ", 208 , 5 ,83.35,5918
2020-11-26, 515 ," 32,318 ",Total, 583 ," 26,950 "," 4,853 ", 553 , 30 ,62.33,5917
2020-11-25, - ," 2,132 ",Lazaretto, 7 ," 1,584 ", 548 , - , 7 ,-,5897
2020-11-25, - , 70 ,Jeju, 3 , 60 , 10 , 3 , - ,10.44,5896
2020-11-25, 1 , 492 ,Gyeongsangnam-do, 11 , 364 , 127 , 10 , 1 ,14.64,5895
2020-11-25, 57 ," 1,679 ",Gyeongsangbuk-do, 3 ," 1,538 ", 84 , 2 , 1 ,63.06,5894
2020-11-25, 2 , 373 ,Jeollanam-do, 8 , 191 , 180 , 8 , - ,20,5893
2020-11-25, 2 , 252 ,Jeollabuk-do, 8 , 170 , 80 , 8 , - ,13.87,5892
2020-11-25, 8 , 817 ,Chungcheongnam-do, 18 , 632 , 177 , 18 , - ,38.49,5891
2020-11-25, 3 , 231 ,Chungcheongbuk-do, 3 , 202 , 26 , 3 , - ,14.44,5890
2020-11-25, 6 , 575 ,Gangwon-do, 13 , 326 , 243 , 12 , 1 ,37.32,5889
2020-11-25, 111 ," 6,681 ",Gyeonggi-do, 82 ," 5,644 ", 926 , 77 , 5 ,50.42,5888
2020-11-25, - , 89 ,Sejong, - , 82 , 7 , - , - ,26,5887
2020-11-25, 2 , 178 ,Ulsan, 3 , 164 , 12 , 3 , - ,15.52,5886
2020-11-25, 6 , 464 ,Daejeon, 4 , 438 , 20 , 4 , - ,31.48,5885
2020-11-25, 3 , 632 ,Gwangju, 14 , 533 , 96 , 14 , - ,43.39,5884
2020-11-25, 11 ," 1,286 ",Incheon, 40 ," 1,059 ", 216 , 39 , 1 ,43.5,5883
2020-11-25, 199 ," 7,223 ",Daegu, 5 ," 6,991 ", 33 , 5 , - ,296.45,5882
2020-11-25, 15 , 661 ,Busan, 18 , 589 , 57 , 18 , - ,19.37,5881
2020-11-25, 87 ," 7,900 ",Seoul, 142 ," 6,258 "," 1,555 ", 139 , 3 ,81.16,5880
2020-11-25, 513 ," 31,735 ",Total, 382 ," 26,825 "," 4,397 ", 363 , 19 ,61.21,5879
2020-11-25, - ," 2,132 ",Lazaretto, 7 ," 1,584 ", 548 , - , 7 ,61.21,5878
2020-11-25, - , 70 ,Jeju, 3 , 60 , 10 , 3 , - ,-,5877
2020-11-25, 1 , 492 ,Gyeongsangnam-do, 11 , 364 , 127 , 10 , 1 ,10.44,5876
2020-11-25, 57 ," 1,679 ",Gyeongsangbuk-do, 3 ," 1,538 ", 84 , 2 , 1 ,14.64,5875
2020-11-25, 2 , 373 ,Jeollanam-do, 8 , 191 , 180 , 8 , - ,63.06,5874
2020-11-25, 2 , 252 ,Jeollabuk-do, 8 , 170 , 80 , 8 , - ,20,5873
2020-11-25, 8 , 817 ,Chungcheongnam-do, 18 , 632 , 177 , 18 , - ,13.87,5872
2020-11-25, 3 , 231 ,Chungcheongbuk-do, 3 , 202 , 26 , 3 , - ,38.49,5871
2020-11-25, 6 , 575 ,Gangwon-do, 13 , 326 , 243 , 12 , 1 ,14.44,5870
2020-11-25, 111 ," 6,681 ",Gyeonggi-do, 82 ," 5,644 ", 926 , 77 , 5 ,37.32,5869
2020-11-25, - , 89 ,Sejong, - , 82 , 7 , - , - ,50.42,5868
2020-11-25, 2 , 178 ,Ulsan, 3 , 164 , 12 , 3 , - ,26,5867
2020-11-25, 6 , 464 ,Daejeon, 4 , 438 , 20 , 4 , - ,15.52,5866
2020-11-25, 3 , 632 ,Gwangju, 14 , 533 , 96 , 14 , - ,31.48,5865
2020-11-25, 11 ," 1,286 ",Incheon, 40 ," 1,059 ", 216 , 39 , 1 ,43.39,5864
2020-11-25, 199 ," 7,223 ",Daegu, 5 ," 6,991 ", 33 , 5 , - ,43.5,5863
2020-11-25, 15 , 661 ,Busan, 18 , 589 , 57 , 18 , - ,296.45,5862
2020-11-25, 87 ," 7,900 ",Seoul, 142 ," 6,258 "," 1,555 ", 139 , 3 ,19.37,5861
2020-11-25, 513 ," 31,735 ",Total, 382 ," 26,825 "," 4,397 ", 363 , 19 ,81.16,5860
2020-11-24, - ," 2,125 ",Lazaretto, 10 ," 1,579 ", 546 , - , 10 ,-,5859
2020-11-24, - , 67 ,Jeju, 1 , 59 , 8 , 1 , - ,9.99,5858
2020-11-24, 1 , 481 ,Gyeongsangnam-do, 3 , 360 , 120 , 3 , - ,14.31,5857
2020-11-24, 57 ," 1,676 ",Gyeongsangbuk-do, 9 ," 1,538 ", 81 , 9 , - ,62.95,5856
2020-11-24, 2 , 365 ,Jeollanam-do, 7 , 189 , 174 , 7 , - ,19.57,5855
2020-11-24, 1 , 244 ,Jeollabuk-do, 15 , 170 , 73 , 14 , 1 ,13.43,5854
2020-11-24, 8 , 799 ,Chungcheongnam-do, 8 , 620 , 171 , 7 , 1 ,37.65,5853
2020-11-24, 3 , 228 ,Chungcheongbuk-do, 3 , 198 , 27 , 3 , - ,14.26,5852
2020-11-24, 6 , 562 ,Gangwon-do, 46 , 316 , 240 , 45 , 1 ,36.48,5851
2020-11-24, 110 ," 6,599 ",Gyeonggi-do, 81 ," 5,609 ", 880 , 69 , 12 ,49.8,5850
2020-11-24, - , 89 ,Sejong, 2 , 82 , 7 , 2 , - ,26,5849
2020-11-24, 2 , 175 ,Ulsan, 2 , 164 , 9 , 1 , 1 ,15.26,5848
2020-11-24, 6 , 460 ,Daejeon, - , 438 , 16 , - , - ,31.2,5847
2020-11-24, 3 , 618 ,Gwangju, 3 , 531 , 84 , 3 , - ,42.43,5846
2020-11-24, 11 ," 1,246 ",Incheon, 17 ," 1,057 ", 178 , 16 , 1 ,42.15,5845
2020-11-24, 198 ," 7,218 ",Daegu, 3 ," 6,990 ", 30 , 2 , 1 ,296.25,5844
2020-11-24, 15 , 643 ,Busan, 6 , 587 , 41 , 6 , - ,18.85,5843
2020-11-24, 87 ," 7,758 ",Seoul, 133 ," 6,235 "," 1,436 ", 132 , 1 ,79.7,5842
2020-11-24, 510 ," 31,353 ",Total, 349 ," 26,722 "," 4,121 ", 320 , 29 ,60.47,5841
2020-11-23, - ," 2,115 ",Lazaretto, 5 ," 1,563 ", 552 , - , 5 ,-,5840
2020-11-23, - , 66 ,Jeju, 1 , 59 , 7 , 1 , - ,9.84,5839
2020-11-23, 1 , 478 ,Gyeongsangnam-do, 2 , 355 , 122 , 2 , - ,14.22,5838
2020-11-23, 57 ," 1,667 ",Gyeongsangbuk-do, 4 ," 1,537 ", 73 , 4 , - ,62.61,5837
2020-11-23, 2 , 358 ,Jeollanam-do, 5 , 189 , 167 , 5 , - ,19.2,5836
2020-11-23, 1 , 229 ,Jeollabuk-do, 9 , 168 , 60 , 9 , - ,12.6,5835
2020-11-23, 8 , 791 ,Chungcheongnam-do, 9 , 617 , 166 , 8 , 1 ,37.27,5834
2020-11-23, 3 , 225 ,Chungcheongbuk-do, - , 197 , 25 , - , - ,14.07,5833
2020-11-23, 6 , 516 ,Gangwon-do, 12 , 306 , 204 , 11 , 1 ,33.49,5832
2020-11-23, 110 ," 6,518 ",Gyeonggi-do, 76 ," 5,544 ", 864 , 74 , 2 ,49.19,5831
2020-11-23, - , 87 ,Sejong, 1 , 82 , 5 , - , 1 ,25.41,5830
2020-11-23, 2 , 173 ,Ulsan, 1 , 163 , 8 , 1 , - ,15.08,5829
2020-11-23, 6 , 460 ,Daejeon, 3 , 437 , 17 , 2 , 1 ,31.2,5828
2020-11-23, 3 , 615 ,Gwangju, 1 , 526 , 86 , 1 , - ,42.22,5827
2020-11-23, 11 ," 1,229 ",Incheon, 23 ," 1,054 ", 164 , 23 , - ,41.57,5826
2020-11-23, 198 ," 7,215 ",Daegu, 2 ," 6,987 ", 30 , 1 , 1 ,296.12,5825
2020-11-23, 15 , 637 ,Busan, 5 , 583 , 39 , 4 , 1 ,18.67,5824
2020-11-23, 86 ," 7,625 ",Seoul, 112 ," 6,172 "," 1,367 ", 109 , 3 ,78.34,5823
2020-11-23, 509 ," 31,004 ",Total, 271 ," 26,539 "," 3,956 ", 255 , 16 ,59.8,5822
2020-11-22, - ," 2,110 ",Lazaretto, 20 ," 1,558 ", 552 , - , 20 ,-,5821
2020-11-22, - , 65 ,Jeju, - , 59 , 6 , - , - ,9.69,5820
2020-11-22, - , 476 ,Gyeongsangnam-do, 19 , 350 , 126 , 19 , - ,14.16,5819
2020-11-22, 57 ," 1,663 ",Gyeongsangbuk-do, 6 ," 1,537 ", 69 , 6 , - ,62.46,5818
2020-11-22, 2 , 353 ,Jeollanam-do, 13 , 189 , 162 , 13 , - ,18.93,5817
2020-11-22, 1 , 220 ,Jeollabuk-do, 12 , 165 , 54 , 12 , - ,12.11,5816
2020-11-22, 8 , 782 ,Chungcheongnam-do, 13 , 609 , 165 , 11 , 2 ,36.84,5815
2020-11-22, 3 , 225 ,Chungcheongbuk-do, - , 196 , 26 , - , - ,14.07,5814
2020-11-22, 5 , 504 ,Gangwon-do, 13 , 301 , 198 , 12 , 1 ,32.72,5813
2020-11-22, 110 ," 6,442 ",Gyeonggi-do, 75 ," 5,514 ", 818 , 74 , 1 ,48.62,5812
2020-11-22, - , 86 ,Sejong, - , 82 , 4 , - , - ,25.12,5811
2020-11-22, 2 , 172 ,Ulsan, 1 , 163 , 7 , 1 , - ,15,5810
2020-11-22, 6 , 457 ,Daejeon, - , 437 , 14 , - , - ,31,5809
2020-11-22, 3 , 614 ,Gwangju, 8 , 514 , 97 , 8 , - ,42.15,5808
2020-11-22, 11 ," 1,206 ",Incheon, 27 ," 1,052 ", 143 , 26 , 1 ,40.8,5807
2020-11-22, 197 ," 7,213 ",Daegu, 1 ," 6,986 ", 30 , - , 1 ,296.04,5806
2020-11-22, 15 , 632 ,Busan, 1 , 583 , 34 , 1 , - ,18.52,5805
2020-11-22, 85 ," 7,513 ",Seoul, 121 ," 6,171 "," 1,257 ", 119 , 2 ,77.19,5804
2020-11-22, 505 ," 30,733 ",Total, 330 ," 26,466 "," 3,762 ", 302 , 28 ,59.28,5803
2020-11-21, - ," 2,090 ",Lazaretto, 9 ," 1,556 ", 534 , - , 9 ,-,5802
2020-11-21, - , 65 ,Jeju, - , 59 , 6 , - , - ,9.69,5801
2020-11-21, - , 457 ,Gyeongsangnam-do, 11 , 342 , 115 , 11 , - ,13.6,5800
2020-11-21, 57 ," 1,657 ",Gyeongsangbuk-do, 8 ," 1,535 ", 65 , 8 , - ,62.23,5799
2020-11-21, 2 , 340 ,Jeollanam-do, 19 , 189 , 149 , 18 , 1 ,18.23,5798
2020-11-21, 1 , 208 ,Jeollabuk-do, 14 , 165 , 42 , 13 , 1 ,11.45,5797
2020-11-21, 8 , 769 ,Chungcheongnam-do, 21 , 598 , 163 , 19 , 2 ,36.23,5796
2020-11-21, 3 , 225 ,Chungcheongbuk-do, 1 , 194 , 28 , 1 , - ,14.07,5795
2020-11-21, 5 , 491 ,Gangwon-do, 15 , 295 , 191 , 14 , 1 ,31.87,5794
2020-11-21, 108 ," 6,367 ",Gyeonggi-do, 93 ," 5,486 ", 773 , 86 , 7 ,48.05,5793
2020-11-21, - , 86 ,Sejong, - , 82 , 4 , - , - ,25.12,5792
2020-11-21, 2 , 171 ,Ulsan, 1 , 163 , 6 , 1 , - ,14.91,5791
2020-11-21, 6 , 457 ,Daejeon, 1 , 437 , 14 , 1 , - ,31,5790
2020-11-21, 3 , 606 ,Gwangju, 7 , 514 , 89 , 6 , 1 ,41.6,5789
2020-11-21, 11 ," 1,179 ",Incheon, 22 ," 1,051 ", 117 , 22 , - ,39.88,5788
2020-11-21, 197 ," 7,212 ",Daegu, 1 ," 6,983 ", 32 , - , 1 ,296,5787
2020-11-21, 15 , 631 ,Busan, 7 , 580 , 36 , 7 , - ,18.49,5786
2020-11-21, 85 ," 7,392 ",Seoul, 156 ," 6,136 "," 1,171 ", 154 , 2 ,75.94,5785
2020-11-21, 503 ," 30,403 ",Total, 386 ," 26,365 "," 3,535 ", 361 , 25 ,58.64,5784
2020-11-20, - ," 2,081 ",Lazaretto, 23 ," 1,553 ", 528 , - , 23 ,-,5783
2020-11-20, - , 65 ,Jeju, 2 , 59 , 6 , 2 , - ,9.69,5782
2020-11-20, - , 446 ,Gyeongsangnam-do, 18 , 336 , 110 , 18 , - ,13.27,5781
2020-11-20, 57 ," 1,649 ",Gyeongsangbuk-do, 10 ," 1,534 ", 58 , 7 , 3 ,61.93,5780
2020-11-20, 2 , 321 ,Jeollanam-do, 14 , 189 , 130 , 14 , - ,17.21,5779
2020-11-20, 1 , 194 ,Jeollabuk-do, 13 , 165 , 28 , 13 , - ,10.68,5778
2020-11-20, 8 , 748 ,Chungcheongnam-do, 15 , 590 , 150 , 15 , - ,35.24,5777
2020-11-20, 3 , 224 ,Chungcheongbuk-do, 2 , 191 , 30 , 2 , - ,14.01,5776
2020-11-20, 5 , 476 ,Gangwon-do, 24 , 285 , 186 , 24 , - ,30.9,5775
2020-11-20, 108 ," 6,274 ",Gyeonggi-do, 73 ," 5,454 ", 712 , 62 , 11 ,47.35,5774
2020-11-20, - , 86 ,Sejong, - , 82 , 4 , - , - ,25.12,5773
2020-11-20, 2 , 170 ,Ulsan, - , 162 , 6 , - , - ,14.82,5772
2020-11-20, 6 , 456 ,Daejeon, - , 436 , 14 , - , - ,30.93,5771
2020-11-20, 3 , 599 ,Gwangju, 4 , 513 , 83 , 4 , - ,41.12,5770
2020-11-20, 11 ," 1,157 ",Incheon, 30 ," 1,047 ", 99 , 29 , 1 ,39.14,5769
2020-11-20, 196 ," 7,211 ",Daegu, 1 ," 6,981 ", 34 , 1 , - ,295.96,5768
2020-11-20, 15 , 624 ,Busan, 2 , 577 , 32 , 2 , - ,18.29,5767
2020-11-20, 84 ," 7,236 ",Seoul, 132 ," 6,109 "," 1,043 ", 127 , 5 ,74.34,5766
2020-11-20, 501 ," 30,017 ",Total, 363 ," 26,263 "," 3,253 ", 320 , 43 ,57.89,5765
2020-11-19, - ," 2,058 ",Lazaretto, 39 ," 1,549 ", 509 , - , 39 ,-,5764
2020-11-19, - , 63 ,Jeju, - , 59 , 4 , - , - ,9.39,5763
2020-11-19, - , 428 ,Gyeongsangnam-do, 28 , 334 , 94 , 28 , - ,12.73,5762
2020-11-19, 57 ," 1,639 ",Gyeongsangbuk-do, 8 ," 1,533 ", 49 , 8 , - ,61.56,5761
2020-11-19, 2 , 307 ,Jeollanam-do, 28 , 185 , 120 , 27 , 1 ,16.46,5760
2020-11-19, 1 , 181 ,Jeollabuk-do, 2 , 165 , 15 , 1 , 1 ,9.96,5759
2020-11-19, 8 , 733 ,Chungcheongnam-do, 13 , 580 , 145 , 13 , - ,34.54,5758
2020-11-19, 3 , 222 ,Chungcheongbuk-do, 4 , 191 , 28 , 3 , 1 ,13.88,5757
2020-11-19, 5 , 452 ,Gangwon-do, 20 , 282 , 165 , 20 , - ,29.34,5756
2020-11-19, 106 ," 6,201 ",Gyeonggi-do, 64 ," 5,421 ", 674 , 59 , 5 ,46.8,5755
2020-11-19, - , 86 ,Sejong, - , 82 , 4 , - , - ,25.12,5754
2020-11-19, 2 , 170 ,Ulsan, - , 162 , 6 , - , - ,14.82,5753
2020-11-19, 6 , 456 ,Daejeon, 1 , 434 , 16 , 1 , - ,30.93,5752
2020-11-19, 3 , 595 ,Gwangju, 8 , 511 , 81 , 8 , - ,40.85,5751
2020-11-19, 11 ," 1,127 ",Incheon, 12 ," 1,043 ", 73 , 11 , 1 ,38.12,5750
2020-11-19, 196 ," 7,210 ",Daegu, 2 ," 6,979 ", 35 , 2 , - ,295.92,5749
2020-11-19, 15 , 622 ,Busan, 5 , 576 , 31 , 5 , - ,18.23,5748
2020-11-19, 83 ," 7,104 ",Seoul, 109 ," 6,012 "," 1,009 ", 107 , 2 ,72.98,5747
2020-11-19, 498 ," 29,654 ",Total, 343 ," 26,098 "," 3,058 ", 293 , 50 ,57.19,5746
2020-11-18, - ," 2,019 ",Lazaretto, 50 ," 1,547 ", 472 , - , 50 ,-,5745
2020-11-18, - , 63 ,Jeju, - , 59 , 4 , - , - ,9.39,5744
2020-11-18, - , 400 ,Gyeongsangnam-do, 9 , 322 , 78 , 9 , - ,11.9,5743
2020-11-18, 57 ," 1,631 ",Gyeongsangbuk-do, 16 ," 1,533 ", 41 , 12 , 4 ,61.26,5742
2020-11-18, 2 , 279 ,Jeollanam-do, 15 , 184 , 93 , 15 , - ,14.96,5741
2020-11-18, 1 , 179 ,Jeollabuk-do, - , 164 , 14 , - , - ,9.85,5740
2020-11-18, 8 , 720 ,Chungcheongnam-do, 7 , 569 , 143 , 6 , 1 ,33.92,5739
2020-11-18, 3 , 218 ,Chungcheongbuk-do, - , 188 , 27 , - , - ,13.63,5738
2020-11-18, 5 , 432 ,Gangwon-do, 5 , 279 , 148 , 5 , - ,28.04,5737
2020-11-18, 105 ," 6,137 ",Gyeonggi-do, 87 ," 5,383 ", 649 , 81 , 6 ,46.32,5736
2020-11-18, - , 86 ,Sejong, - , 82 , 4 , - , - ,25.12,5735
2020-11-18, 2 , 170 ,Ulsan, 3 , 162 , 6 , - , 3 ,14.82,5734
2020-11-18, 6 , 455 ,Daejeon, 1 , 434 , 15 , 1 , - ,30.87,5733
2020-11-18, 3 , 587 ,Gwangju, 9 , 511 , 73 , 9 , - ,40.3,5732
2020-11-18, 11 ," 1,115 ",Incheon, 12 ," 1,040 ", 64 , 9 , 3 ,37.72,5731
2020-11-18, 196 ," 7,208 ",Daegu, 2 ," 6,975 ", 37 , 2 , - ,295.84,5730
2020-11-18, 15 , 617 ,Busan, 5 , 573 , 29 , 5 , - ,18.08,5729
2020-11-18, 82 ," 6,995 ",Seoul, 92 ," 5,968 ", 945 , 91 , 1 ,71.87,5728
2020-11-18, 496 ," 29,311 ",Total, 313 ," 25,973 "," 2,842 ", 245 , 68 ,56.53,5727
2020-11-17, - ," 1,969 ",Lazaretto, 8 ," 1,541 ", 428 , - , 8 ,-,5726
2020-11-17, - , 63 ,Jeju, - , 59 , 4 , - , - ,9.39,5725
2020-11-17, - , 391 ,Gyeongsangnam-do, 3 , 318 , 73 , 3 , - ,11.63,5724
2020-11-17, 57 ," 1,615 ",Gyeongsangbuk-do, 3 ," 1,532 ", 26 , 3 , - ,60.66,5723
2020-11-17, 2 , 264 ,Jeollanam-do, 16 , 184 , 78 , 16 , - ,14.16,5722
2020-11-17, 1 , 179 ,Jeollabuk-do, - , 163 , 15 , - , - ,9.85,5721
2020-11-17, 8 , 713 ,Chungcheongnam-do, 9 , 559 , 146 , 9 , - ,33.59,5720
2020-11-17, 3 , 218 ,Chungcheongbuk-do, - , 185 , 30 , - , - ,13.63,5719
2020-11-17, 4 , 427 ,Gangwon-do, 13 , 279 , 144 , 13 , - ,27.72,5718
2020-11-17, 105 ," 6,050 ",Gyeonggi-do, 52 ," 5,349 ", 596 , 38 , 14 ,45.66,5717
2020-11-17, - , 86 ,Sejong, 1 , 82 , 4 , - , 1 ,25.12,5716
2020-11-17, 2 , 167 ,Ulsan, - , 162 , 3 , - , - ,14.56,5715
2020-11-17, 6 , 454 ,Daejeon, 1 , 433 , 15 , 1 , - ,30.8,5714
2020-11-17, 3 , 578 ,Gwangju, 18 , 510 , 65 , 18 , - ,39.68,5713
2020-11-17, 11 ," 1,103 ",Incheon, 13 ," 1,038 ", 54 , 12 , 1 ,37.31,5712
2020-11-17, 196 ," 7,206 ",Daegu, 3 ," 6,975 ", 35 , 2 , 1 ,295.75,5711
2020-11-17, 15 , 612 ,Busan, - , 568 , 29 , - , - ,17.94,5710
2020-11-17, 81 ," 6,903 ",Seoul, 90 ," 5,923 ", 899 , 87 , 3 ,70.92,5709
2020-11-17, 494 ," 28,998 ",Total, 230 ," 25,860 "," 2,644 ", 202 , 28 ,55.93,5708
2020-11-16, - ," 1,961 ",Lazaretto, 23 ," 1,534 ", 427 , - , 23 ,-,5707
2020-11-16, - , 63 ,Jeju, 1 , 59 , 4 , 1 , - ,9.39,5706
2020-11-16, - , 388 ,Gyeongsangnam-do, 4 , 317 , 71 , 4 , - ,11.54,5705
2020-11-16, 57 ," 1,612 ",Gyeongsangbuk-do, 14 ," 1,532 ", 23 , 13 , 1 ,60.54,5704
2020-11-16, 2 , 248 ,Jeollanam-do, 10 , 182 , 64 , 10 , - ,13.3,5703
2020-11-16, 1 , 179 ,Jeollabuk-do, 1 , 163 , 15 , 1 , - ,9.85,5702
2020-11-16, 8 , 704 ,Chungcheongnam-do, 6 , 552 , 144 , 6 , - ,33.17,5701
2020-11-16, 3 , 218 ,Chungcheongbuk-do, 3 , 184 , 31 , 3 , - ,13.63,5700
2020-11-16, 4 , 414 ,Gangwon-do, 20 , 273 , 137 , 20 , - ,26.87,5699
2020-11-16, 105 ," 5,998 ",Gyeonggi-do, 42 ," 5,315 ", 578 , 39 , 3 ,45.27,5698
2020-11-16, - , 85 ,Sejong, 1 , 82 , 3 , 1 , - ,24.83,5697
2020-11-16, 2 , 167 ,Ulsan, - , 161 , 4 , - , - ,14.56,5696
2020-11-16, 6 , 453 ,Daejeon, 3 , 433 , 14 , 2 , 1 ,30.73,5695
2020-11-16, 3 , 560 ,Gwangju, 4 , 510 , 47 , 4 , - ,38.44,5694
2020-11-16, 11 ," 1,090 ",Incheon, 10 ," 1,038 ", 41 , 10 , - ,36.87,5693
2020-11-16, 196 ," 7,203 ",Daegu, - ," 6,971 ", 36 , - , - ,295.63,5692
2020-11-16, 15 , 612 ,Busan, - , 568 , 29 , - , - ,17.94,5691
2020-11-16, 81 ," 6,814 ",Seoul, 81 ," 5,885 ", 848 , 79 , 2 ,70.01,5690
2020-11-16, 494 ," 28,769 ",Total, 223 ," 25,759 "," 2,516 ", 193 , 30 ,55.49,5689
2020-11-15, - ," 1,938 ",Lazaretto, 18 ," 1,530 ", 408 , - , 18 ,-,5688
2020-11-15, - , 62 ,Jeju, - , 59 , 3 , - , - ,9.24,5687
2020-11-15, - , 384 ,Gyeongsangnam-do, 3 , 317 , 67 , 3 , - ,11.42,5686
2020-11-15, 57 ," 1,598 ",Gyeongsangbuk-do, 2 ," 1,531 ", 10 , 2 , - ,60.02,5685
2020-11-15, 2 , 238 ,Jeollanam-do, 9 , 182 , 54 , 8 , 1 ,12.76,5684
2020-11-15, 1 , 178 ,Jeollabuk-do, 2 , 163 , 14 , - , 2 ,9.79,5683
2020-11-15, 8 , 698 ,Chungcheongnam-do, 5 , 538 , 152 , 5 , - ,32.89,5682
2020-11-15, 3 , 215 ,Chungcheongbuk-do, 8 , 184 , 28 , 8 , - ,13.44,5681
2020-11-15, 4 , 394 ,Gangwon-do, 19 , 273 , 117 , 19 , - ,25.58,5680
2020-11-15, 104 ," 5,956 ",Gyeonggi-do, 45 ," 5,283 ", 569 , 41 , 4 ,44.95,5679
2020-11-15, - , 84 ,Sejong, - , 82 , 2 , - , - ,24.54,5678
2020-11-15, 2 , 167 ,Ulsan, - , 161 , 4 , - , - ,14.56,5677
2020-11-15, 6 , 450 ,Daejeon, - , 433 , 11 , - , - ,30.53,5676
2020-11-15, 3 , 556 ,Gwangju, 9 , 510 , 43 , 7 , 2 ,38.17,5675
2020-11-15, 11 ," 1,080 ",Incheon, 2 ," 1,035 ", 34 , 2 , - ,36.53,5674
2020-11-15, 196 ," 7,203 ",Daegu, 1 ," 6,969 ", 38 , - , 1 ,295.63,5673
2020-11-15, 15 , 612 ,Busan, - , 567 , 30 , - , - ,17.94,5672
2020-11-15, 81 ," 6,733 ",Seoul, 85 ," 5,874 ", 778 , 81 , 4 ,69.17,5671
2020-11-15, 493 ," 28,546 ",Total, 208 ," 25,691 "," 2,362 ", 176 , 32 ,55.06,5670
2020-11-14, - ," 1,920 ",Lazaretto, 21 ," 1,527 ", 393 , - , 21 ,-,5669
2020-11-14, - , 62 ,Jeju, - , 59 , 3 , - , - ,9.24,5668
2020-11-14, - , 381 ,Gyeongsangnam-do, 4 , 315 , 66 , 3 , 1 ,11.33,5667
2020-11-14, 57 ," 1,596 ",Gyeongsangbuk-do, - ," 1,529 ", 10 , - , - ,59.94,5666
2020-11-14, 2 , 229 ,Jeollanam-do, 13 , 182 , 45 , 13 , - ,12.28,5665
2020-11-14, 1 , 176 ,Jeollabuk-do, 4 , 163 , 12 , 1 , 3 ,9.68,5664
2020-11-14, 8 , 693 ,Chungcheongnam-do, 11 , 537 , 148 , 11 , - ,32.65,5663
2020-11-14, 3 , 207 ,Chungcheongbuk-do, - , 183 , 21 , - , - ,12.94,5662
2020-11-14, 4 , 375 ,Gangwon-do, 18 , 273 , 98 , 18 , - ,24.34,5661
2020-11-14, 104 ," 5,911 ",Gyeonggi-do, 49 ," 5,261 ", 546 , 46 , 3 ,44.61,5660
2020-11-14, - , 84 ,Sejong, 1 , 82 , 2 , 1 , - ,24.54,5659
2020-11-14, 2 , 167 ,Ulsan, - , 160 , 5 , - , - ,14.56,5658
2020-11-14, 6 , 450 ,Daejeon, 2 , 432 , 12 , 2 , - ,30.53,5657
2020-11-14, 3 , 547 ,Gwangju, 8 , 510 , 34 , 7 , 1 ,37.55,5656
2020-11-14, 11 ," 1,078 ",Incheon, 1 ," 1,035 ", 32 , - , 1 ,36.47,5655
2020-11-14, 196 ," 7,202 ",Daegu, - ," 6,969 ", 37 , - , - ,295.59,5654
2020-11-14, 15 , 612 ,Busan, 4 , 566 , 31 , 1 , 3 ,17.94,5653
2020-11-14, 80 ," 6,648 ",Seoul, 69 ," 5,853 ", 715 , 63 , 6 ,68.3,5652
