createDt, deathCnt , defCnt ,gubunEn, incDec , isolClearCnt , isolIngCnt , localOccCnt , overFlowCnt ,qurRate,seq
2020-12-02, 116 ," 7,517 ",Gyeonggi-do, 144 ," 6,003 "," 1,398 ", 143 , 1 ,56.73,6059
2020-12-02, - , 109 ,Sejong, 7 , 85 , 24 , 7 , - ,31.84,6058
2020-12-02, 2 , 211 ,Ulsan, 10 , 166 , 43 , 6 , 4 ,18.4,6057
2020-12-02, 6 , 509 ,Daejeon, 5 , 446 , 57 , 5 , - ,34.53,6056
2020-12-02, 3 , 728 ,Gwangju, 10 , 586 , 139 , 10 , - ,49.98,6055
2020-12-02, 11 ," 1,448 ",Incheon, 23 ," 1,103 ", 334 , 21 , 2 ,48.98,6054
2020-12-02, 199 ," 7,247 ",Daegu, 4 ," 7,002 ", 46 , 4 , - ,297.44,6053
2020-12-02, 16 , 872 ,Busan, 32 , 602 , 254 , 31 , 1 ,25.56,6052
2020-12-02, 93 ," 9,159 ",Seoul, 193 ," 6,625 "," 2,441 ", 192 , 1 ,94.1,6051
2020-12-02, 526 ," 35,163 ",Total, 511 ," 28,065 "," 6,572 ", 493 , 18 ,67.82,6050
2020-12-01, - ," 2,144 ",Lazaretto, 14 ," 1,623 ", 521 , - , 14 ,-,6049
